日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,3150.00,3150.00,3150.00,3150.00,2000,6300000
2017-06-19,14:55,3155.00,3160.00,3150.00,3160.00,1800,5678500
2017-06-19,14:50,3155.00,3160.00,3155.00,3160.00,200,631500
2017-06-19,14:45,3155.00,3155.00,3155.00,3155.00,200,631000
2017-06-19,14:40,3160.00,3160.00,3155.00,3155.00,700,2211500
2017-06-19,14:35,3160.00,3160.00,3160.00,3160.00,100,316000
2017-06-19,14:30,3160.00,3160.00,3160.00,3160.00,400,1264000
2017-06-19,14:25,3160.00,3160.00,3160.00,3160.00,400,1264000
2017-06-19,14:20,3155.00,3155.00,3155.00,3155.00,100,315500
2017-06-19,14:15,,,,,0,0
2017-06-19,14:10,3155.00,3155.00,3155.00,3155.00,100,315500
2017-06-19,14:05,3155.00,3155.00,3155.00,3155.00,500,1577500
2017-06-19,14:00,3160.00,3160.00,3155.00,3155.00,1400,4422000
2017-06-19,13:55,3165.00,3165.00,3160.00,3160.00,1400,4429500
2017-06-19,13:50,,,,,0,0
2017-06-19,13:45,3165.00,3165.00,3165.00,3165.00,500,1582500
2017-06-19,13:40,3165.00,3165.00,3165.00,3165.00,900,2848500
2017-06-19,13:35,,,,,0,0
2017-06-19,13:30,3165.00,3165.00,3165.00,3165.00,400,1266000
2017-06-19,13:25,3165.00,3165.00,3165.00,3165.00,200,633000
2017-06-19,13:20,3170.00,3170.00,3165.00,3170.00,1100,3483000
2017-06-19,13:15,3160.00,3175.00,3160.00,3175.00,2000,6340500
2017-06-19,13:10,3165.00,3165.00,3160.00,3160.00,200,632500
2017-06-19,13:05,3165.00,3165.00,3165.00,3165.00,800,2532000
2017-06-19,13:00,3160.00,3165.00,3160.00,3165.00,2200,6954000
2017-06-19,12:55,3155.00,3160.00,3155.00,3160.00,200,631500
2017-06-19,12:50,3155.00,3155.00,3155.00,3155.00,100,315500
2017-06-19,12:45,3155.00,3155.00,3155.00,3155.00,300,946500
2017-06-19,12:40,3155.00,3155.00,3155.00,3155.00,200,631000
2017-06-19,12:35,3155.00,3155.00,3155.00,3155.00,100,315500
2017-06-19,12:30,3150.00,3155.00,3150.00,3155.00,1800,5672000
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,,,,,0,0
2017-06-19,11:20,3155.00,3155.00,3155.00,3155.00,200,631000
2017-06-19,11:15,3155.00,3155.00,3155.00,3155.00,500,1577500
2017-06-19,11:10,3150.00,3155.00,3150.00,3155.00,2100,6621500
2017-06-19,11:05,3150.00,3150.00,3150.00,3150.00,100,315000
2017-06-19,11:00,3155.00,3155.00,3150.00,3150.00,300,945500
2017-06-19,10:55,,,,,0,0
2017-06-19,10:50,3150.00,3150.00,3150.00,3150.00,100,315000
2017-06-19,10:45,3150.00,3150.00,3150.00,3150.00,300,945000
2017-06-19,10:40,3145.00,3150.00,3145.00,3150.00,2200,6921000
2017-06-19,10:35,,,,,0,0
2017-06-19,10:30,,,,,0,0
2017-06-19,10:25,,,,,0,0
2017-06-19,10:20,3150.00,3150.00,3150.00,3150.00,900,2835000
2017-06-19,10:15,,,,,0,0
2017-06-19,10:10,3155.00,3155.00,3155.00,3155.00,400,1262000
2017-06-19,10:05,,,,,0,0
2017-06-19,10:00,,,,,0,0
2017-06-19,09:55,3155.00,3155.00,3155.00,3155.00,700,2208500
2017-06-19,09:50,3155.00,3155.00,3155.00,3155.00,300,946500
2017-06-19,09:45,3155.00,3155.00,3155.00,3155.00,1200,3786000
2017-06-19,09:40,3155.00,3155.00,3155.00,3155.00,900,2839500
2017-06-19,09:35,3155.00,3155.00,3155.00,3155.00,600,1893000
2017-06-19,09:30,3150.00,3150.00,3150.00,3150.00,200,630000
2017-06-19,09:25,3155.00,3155.00,3150.00,3150.00,1300,4099500
2017-06-19,09:20,3150.00,3155.00,3150.00,3155.00,4800,15128500
2017-06-19,09:15,3140.00,3145.00,3140.00,3145.00,1000,3141500
2017-06-19,09:10,3140.00,3145.00,3140.00,3145.00,1400,4400500
2017-06-19,09:05,3120.00,3135.00,3120.00,3135.00,300,939000
2017-06-19,09:00,3125.00,3125.00,3125.00,3125.00,600,1875000
