日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:30,,,,,0,0
2017-06-19,15:25,,,,,0,0
2017-06-19,15:20,,,,,0,0
2017-06-19,15:15,,,,,0,0
2017-06-19,15:10,,,,,0,0
2017-06-19,15:05,,,,,0,0
2017-06-19,15:00,402.00,402.00,402.00,402.00,200,80400
2017-06-19,14:55,,,,,0,0
2017-06-19,14:50,,,,,0,0
2017-06-19,14:45,,,,,0,0
2017-06-19,14:40,,,,,0,0
2017-06-19,14:35,,,,,0,0
2017-06-19,14:30,,,,,0,0
2017-06-19,14:25,,,,,0,0
2017-06-19,14:20,,,,,0,0
2017-06-19,14:15,,,,,0,0
2017-06-19,14:10,,,,,0,0
2017-06-19,14:05,,,,,0,0
2017-06-19,14:00,,,,,0,0
2017-06-19,13:55,,,,,0,0
2017-06-19,13:50,,,,,0,0
2017-06-19,13:45,,,,,0,0
2017-06-19,13:40,,,,,0,0
2017-06-19,13:35,400.00,400.00,400.00,400.00,700,280000
2017-06-19,13:30,,,,,0,0
2017-06-19,13:25,,,,,0,0
2017-06-19,13:20,399.00,399.00,399.00,399.00,1000,399000
2017-06-19,13:15,,,,,0,0
2017-06-19,13:10,,,,,0,0
2017-06-19,13:05,398.00,398.00,398.00,398.00,900,358200
2017-06-19,13:00,,,,,0,0
2017-06-19,12:55,,,,,0,0
2017-06-19,12:50,,,,,0,0
2017-06-19,12:45,,,,,0,0
2017-06-19,12:40,,,,,0,0
2017-06-19,12:35,,,,,0,0
2017-06-19,12:30,398.00,398.00,398.00,398.00,100,39800
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,400.00,400.00,400.00,400.00,500,200000
2017-06-19,11:20,,,,,0,0
2017-06-19,11:15,,,,,0,0
2017-06-19,11:10,,,,,0,0
2017-06-19,11:05,,,,,0,0
2017-06-19,11:00,,,,,0,0
2017-06-19,10:55,,,,,0,0
2017-06-19,10:50,,,,,0,0
2017-06-19,10:45,,,,,0,0
2017-06-19,10:40,,,,,0,0
2017-06-19,10:35,,,,,0,0
2017-06-19,10:30,,,,,0,0
2017-06-19,10:25,,,,,0,0
2017-06-19,10:20,,,,,0,0
2017-06-19,10:15,,,,,0,0
2017-06-19,10:10,398.00,398.00,398.00,398.00,100,39800
2017-06-19,10:05,397.00,397.00,396.00,396.00,1600,634600
2017-06-19,10:00,,,,,0,0
2017-06-19,09:55,396.00,397.00,396.00,397.00,800,316900
2017-06-19,09:50,,,,,0,0
2017-06-19,09:45,396.00,396.00,396.00,396.00,100,39600
2017-06-19,09:40,,,,,0,0
2017-06-19,09:35,,,,,0,0
2017-06-19,09:30,395.00,395.00,395.00,395.00,1400,553000
2017-06-19,09:25,394.00,395.00,394.00,395.00,1000,394200
2017-06-19,09:20,,,,,0,0
2017-06-19,09:15,394.00,394.00,394.00,394.00,300,118200
2017-06-19,09:10,394.00,394.00,394.00,394.00,100,39400
2017-06-19,09:05,394.00,394.00,394.00,394.00,100,39400
2017-06-19,09:00,,,,,0,0
