日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:30,1449.00,1449.00,1449.00,1449.00,2200,3187800
2017-06-20,15:25,1444.00,1450.00,1444.00,1450.00,3300,4780900
2017-06-20,15:20,1450.00,1450.00,1442.00,1447.00,3700,5357000
2017-06-20,15:15,1450.00,1450.00,1449.00,1450.00,2700,3914300
2017-06-20,15:10,1447.00,1450.00,1447.00,1450.00,3100,4492000
2017-06-20,15:05,1445.00,1450.00,1444.00,1447.00,12500,18096400
2017-06-20,15:00,1443.00,1445.00,1440.00,1445.00,1900,2740900
2017-06-20,14:55,1436.00,1445.00,1435.00,1444.00,9400,13543800
2017-06-20,14:50,1442.00,1444.00,1436.00,1436.00,10500,15116200
2017-06-20,14:45,1444.00,1445.00,1439.00,1440.00,9300,13414700
2017-06-20,14:40,1440.00,1445.00,1439.00,1445.00,2400,3460900
2017-06-20,14:35,1435.00,1440.00,1432.00,1439.00,4000,5751900
2017-06-20,14:30,1432.00,1450.00,1432.00,1438.00,20800,30041500
2017-06-20,14:25,1425.00,1441.00,1423.00,1433.00,16000,22970000
2017-06-20,14:20,1430.00,1430.00,1425.00,1425.00,7200,10271300
2017-06-20,14:15,1430.00,1433.00,1430.00,1430.00,2200,3147800
2017-06-20,14:10,1433.00,1433.00,1427.00,1430.00,5700,8150800
2017-06-20,14:05,1430.00,1436.00,1430.00,1434.00,7700,11039100
2017-06-20,14:00,1432.00,1433.00,1429.00,1432.00,3000,4292500
2017-06-20,13:55,1427.00,1435.00,1425.00,1431.00,7200,10300200
2017-06-20,13:50,1429.00,1430.00,1425.00,1426.00,5800,8276900
2017-06-20,13:45,1431.00,1432.00,1429.00,1429.00,5800,8294700
2017-06-20,13:40,1430.00,1432.00,1430.00,1432.00,3400,4863500
2017-06-20,13:35,1430.00,1431.00,1429.00,1429.00,1900,2716000
2017-06-20,13:30,1431.00,1432.00,1429.00,1432.00,3500,5005400
2017-06-20,13:25,1433.00,1433.00,1431.00,1431.00,3000,4295700
2017-06-20,13:20,1430.00,1435.00,1430.00,1432.00,3600,5157300
2017-06-20,13:15,1432.00,1433.00,1430.00,1430.00,10000,14304200
2017-06-20,13:10,1443.00,1443.00,1431.00,1434.00,7700,11052600
2017-06-20,13:05,1438.00,1443.00,1437.00,1443.00,4000,5759600
2017-06-20,13:00,1437.00,1438.00,1435.00,1438.00,4700,6750200
2017-06-20,12:55,1437.00,1438.00,1436.00,1438.00,2400,3449600
2017-06-20,12:50,1418.00,1440.00,1417.00,1439.00,5500,7858600
2017-06-20,12:45,1424.00,1424.00,1417.00,1418.00,21100,29970100
2017-06-20,12:40,1430.00,1430.00,1424.00,1425.00,6200,8841400
2017-06-20,12:35,1431.00,1441.00,1426.00,1430.00,28900,41393400
2017-06-20,12:30,1435.00,1441.00,1430.00,1434.00,41500,59502100
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,1445.00,1445.00,1445.00,1445.00,1200,1734000
2017-06-20,11:25,1447.00,1448.00,1439.00,1443.00,15800,22785600
2017-06-20,11:20,1447.00,1448.00,1445.00,1448.00,3100,4483600
2017-06-20,11:15,1449.00,1449.00,1442.00,1446.00,2100,3037200
2017-06-20,11:10,1457.00,1457.00,1450.00,1450.00,5300,7695700
2017-06-20,11:05,1455.00,1459.00,1454.00,1457.00,2300,3351200
2017-06-20,11:00,1459.00,1459.00,1454.00,1455.00,2800,4080100
2017-06-20,10:55,1458.00,1458.00,1455.00,1458.00,3000,4368900
2017-06-20,10:50,1457.00,1459.00,1456.00,1457.00,3100,4519500
2017-06-20,10:45,1451.00,1456.00,1450.00,1456.00,3000,4360000
2017-06-20,10:40,1444.00,1455.00,1444.00,1452.00,2800,4060700
2017-06-20,10:35,1447.00,1447.00,1437.00,1446.00,6700,9651500
2017-06-20,10:30,1448.00,1449.00,1440.00,1443.00,26100,37653000
2017-06-20,10:25,1453.00,1453.00,1445.00,1448.00,16100,23322200
2017-06-20,10:20,1458.00,1458.00,1454.00,1454.00,5000,7280100
2017-06-20,10:15,1455.00,1458.00,1455.00,1458.00,3600,5243500
2017-06-20,10:10,1468.00,1470.00,1457.00,1457.00,6100,8937500
2017-06-20,10:05,1457.00,1468.00,1455.00,1468.00,4900,7155300
2017-06-20,10:00,1460.00,1460.00,1456.00,1456.00,2100,3062400
2017-06-20,09:55,1464.00,1466.00,1457.00,1463.00,5500,8036100
2017-06-20,09:50,1470.00,1470.00,1464.00,1464.00,3200,4693800
2017-06-20,09:45,1468.00,1471.00,1466.00,1471.00,2000,2937200
2017-06-20,09:40,1476.00,1477.00,1466.00,1468.00,7100,10443900
2017-06-20,09:35,1474.00,1478.00,1472.00,1475.00,3600,5311200
2017-06-20,09:30,1475.00,1479.00,1474.00,1474.00,8900,13139200
2017-06-20,09:25,1466.00,1478.00,1466.00,1473.00,15000,22070200
2017-06-20,09:20,1441.00,1466.00,1441.00,1464.00,10000,14579700
2017-06-20,09:15,1453.00,1456.00,1436.00,1439.00,24300,35090300
2017-06-20,09:10,1469.00,1469.00,1454.00,1457.00,26200,38317300
2017-06-20,09:05,1471.00,1474.00,1466.00,1469.00,15500,22772600
2017-06-20,09:00,1477.00,1487.00,1468.00,1472.00,51000,75340600
