日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:00,,,,,0,0
2017-06-20,14:55,,,,,0,0
2017-06-20,14:50,2270.00,2270.00,2270.00,2270.00,100,227000
2017-06-20,14:45,2269.00,2269.00,2269.00,2269.00,100,226900
2017-06-20,14:40,,,,,0,0
2017-06-20,14:35,2280.00,2280.00,2280.00,2280.00,100,228000
2017-06-20,14:30,2280.00,2280.00,2280.00,2280.00,100,228000
2017-06-20,14:25,,,,,0,0
2017-06-20,14:20,,,,,0,0
2017-06-20,14:15,,,,,0,0
2017-06-20,14:10,,,,,0,0
2017-06-20,14:05,,,,,0,0
2017-06-20,14:00,,,,,0,0
2017-06-20,13:55,,,,,0,0
2017-06-20,13:50,,,,,0,0
2017-06-20,13:45,,,,,0,0
2017-06-20,13:40,,,,,0,0
2017-06-20,13:35,,,,,0,0
2017-06-20,13:30,2281.00,2281.00,2270.00,2270.00,1900,4318700
2017-06-20,13:25,,,,,0,0
2017-06-20,13:20,2296.00,2296.00,2296.00,2296.00,400,918400
2017-06-20,13:15,,,,,0,0
2017-06-20,13:10,2295.00,2295.00,2295.00,2295.00,200,459000
2017-06-20,13:05,2294.00,2294.00,2294.00,2294.00,500,1147000
2017-06-20,13:00,,,,,0,0
2017-06-20,12:55,2292.00,2293.00,2292.00,2293.00,600,1375600
2017-06-20,12:50,,,,,0,0
2017-06-20,12:45,,,,,0,0
2017-06-20,12:40,,,,,0,0
2017-06-20,12:35,,,,,0,0
2017-06-20,12:30,2283.00,2283.00,2283.00,2283.00,100,228300
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,,,,,0,0
2017-06-20,11:25,,,,,0,0
2017-06-20,11:20,,,,,0,0
2017-06-20,11:15,,,,,0,0
2017-06-20,11:10,2287.00,2289.00,2287.00,2289.00,400,915400
2017-06-20,11:05,,,,,0,0
2017-06-20,11:00,2289.00,2289.00,2289.00,2289.00,100,228900
2017-06-20,10:55,,,,,0,0
2017-06-20,10:50,,,,,0,0
2017-06-20,10:45,,,,,0,0
2017-06-20,10:40,,,,,0,0
2017-06-20,10:35,,,,,0,0
2017-06-20,10:30,,,,,0,0
2017-06-20,10:25,,,,,0,0
2017-06-20,10:20,,,,,0,0
2017-06-20,10:15,,,,,0,0
2017-06-20,10:10,,,,,0,0
2017-06-20,10:05,,,,,0,0
2017-06-20,10:00,,,,,0,0
2017-06-20,09:55,2273.00,2273.00,2273.00,2273.00,500,1136500
2017-06-20,09:50,,,,,0,0
2017-06-20,09:45,2276.00,2276.00,2273.00,2273.00,200,454900
2017-06-20,09:40,,,,,0,0
2017-06-20,09:35,,,,,0,0
2017-06-20,09:30,,,,,0,0
2017-06-20,09:25,2274.00,2274.00,2274.00,2274.00,100,227400
2017-06-20,09:20,,,,,0,0
2017-06-20,09:15,,,,,0,0
2017-06-20,09:10,,,,,0,0
2017-06-20,09:05,2283.00,2283.00,2283.00,2283.00,100,228300
2017-06-20,09:00,2294.00,2295.00,2294.00,2295.00,1400,3212000
