日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-16,15:00,682.00,682.00,682.00,682.00,777300,530118600
2017-06-16,14:55,681.00,682.00,680.00,682.00,298500,203292500
2017-06-16,14:50,681.00,681.00,680.00,681.00,96400,65646700
2017-06-16,14:45,681.00,681.00,680.00,681.00,106000,72173400
2017-06-16,14:40,680.00,681.00,680.00,681.00,32900,22397700
2017-06-16,14:35,681.00,681.00,680.00,681.00,43100,29337400
2017-06-16,14:30,680.00,681.00,680.00,681.00,48200,32817100
2017-06-16,14:25,681.00,681.00,680.00,680.00,9800,6667400
2017-06-16,14:20,681.00,681.00,680.00,680.00,6700,4559100
2017-06-16,14:15,680.00,681.00,680.00,680.00,8500,5780400
2017-06-16,14:10,681.00,681.00,680.00,680.00,5100,3469700
2017-06-16,14:05,681.00,681.00,680.00,681.00,10700,7281700
2017-06-16,14:00,680.00,681.00,680.00,681.00,3400,2313800
2017-06-16,13:55,681.00,681.00,680.00,680.00,2600,1768400
2017-06-16,13:50,681.00,681.00,680.00,681.00,63000,42842700
2017-06-16,13:45,680.00,681.00,679.00,680.00,31500,21419900
2017-06-16,13:40,679.00,680.00,679.00,680.00,42100,28590800
2017-06-16,13:35,678.00,679.00,678.00,679.00,9400,6380000
2017-06-16,13:30,678.00,679.00,678.00,679.00,800,542500
2017-06-16,13:25,678.00,679.00,678.00,679.00,51800,35121200
2017-06-16,13:20,678.00,679.00,678.00,678.00,3400,2307600
2017-06-16,13:15,678.00,679.00,678.00,678.00,1600,1086000
2017-06-16,13:10,679.00,679.00,678.00,678.00,84200,57125300
2017-06-16,13:05,679.00,679.00,679.00,679.00,41100,27906900
2017-06-16,13:00,679.00,679.00,678.00,678.00,9300,6308900
2017-06-16,12:55,679.00,680.00,678.00,678.00,51900,35239100
2017-06-16,12:50,682.00,682.00,680.00,680.00,56200,38249400
2017-06-16,12:45,682.00,682.00,681.00,682.00,5600,3819100
2017-06-16,12:40,680.00,681.00,680.00,681.00,112200,76380300
2017-06-16,12:35,681.00,681.00,680.00,680.00,31600,21488700
2017-06-16,12:30,681.00,683.00,681.00,681.00,134100,91342900
2017-06-16,12:25,,,,,0,0
2017-06-16,12:20,,,,,0,0
2017-06-16,12:15,,,,,0,0
2017-06-16,12:10,,,,,0,0
2017-06-16,12:05,,,,,0,0
2017-06-16,12:00,,,,,0,0
2017-06-16,11:55,,,,,0,0
2017-06-16,11:50,,,,,0,0
2017-06-16,11:45,,,,,0,0
2017-06-16,11:40,,,,,0,0
2017-06-16,11:35,,,,,0,0
2017-06-16,11:30,680.00,680.00,680.00,680.00,4700,3196000
2017-06-16,11:25,683.00,683.00,681.00,681.00,52900,36042600
2017-06-16,11:20,683.00,683.00,682.00,682.00,13800,9424100
2017-06-16,11:15,681.00,684.00,681.00,683.00,85000,58028200
2017-06-16,11:10,681.00,682.00,681.00,681.00,16700,11374700
2017-06-16,11:05,681.00,682.00,681.00,682.00,39400,26831600
2017-06-16,11:00,681.00,682.00,681.00,681.00,7900,5385900
2017-06-16,10:55,682.00,682.00,681.00,682.00,36300,24756100
2017-06-16,10:50,682.00,683.00,681.00,683.00,63500,43348000
2017-06-16,10:45,682.00,683.00,682.00,682.00,22200,15140600
2017-06-16,10:40,682.00,683.00,682.00,682.00,50800,34681600
2017-06-16,10:35,683.00,683.00,682.00,682.00,10000,6826900
2017-06-16,10:30,683.00,683.00,682.00,683.00,30900,21074900
2017-06-16,10:25,683.00,683.00,682.00,682.00,17400,11883400
2017-06-16,10:20,684.00,684.00,683.00,684.00,20100,13747400
2017-06-16,10:15,684.00,685.00,683.00,684.00,29700,20295300
2017-06-16,10:10,684.00,684.00,683.00,684.00,67000,45806900
2017-06-16,10:05,682.00,684.00,682.00,684.00,23800,16251500
2017-06-16,10:00,680.00,682.00,680.00,682.00,76400,52039000
2017-06-16,09:55,681.00,681.00,679.00,680.00,59900,40719100
2017-06-16,09:50,679.00,680.00,679.00,680.00,54200,36842000
2017-06-16,09:45,678.00,679.00,678.00,679.00,51800,35139800
2017-06-16,09:40,681.00,681.00,678.00,678.00,62100,42190100
2017-06-16,09:35,681.00,682.00,681.00,681.00,62000,42251400
2017-06-16,09:30,678.00,681.00,678.00,681.00,66300,45068300
2017-06-16,09:25,680.00,681.00,677.00,678.00,117500,79769700
2017-06-16,09:20,682.00,683.00,679.00,680.00,140400,95615000
2017-06-16,09:15,687.00,687.00,681.00,681.00,125100,85554400
2017-06-16,09:10,688.00,688.00,686.00,687.00,64600,44387800
2017-06-16,09:05,694.00,694.00,688.00,688.00,92400,63922700
2017-06-16,09:00,696.00,696.00,692.00,694.00,273000,189782000
